,Risk Off,Risk On,BTC
06/07/2017,144.0459278,1555.663982,2608.10
07/07/2017,144.0205149,1550.184476,2603.20
08/07/2017,142.7012043,1438.221143,2495.78
09/07/2017,143.4799124,1497.653245,2553.49
10/07/2017,142.8608084,1448.721707,2506.17
11/07/2017,140.3439814,1256.313384,2319.37
12/07/2017,140.3181895,1256.347813,2319.17
13/07/2017,141.0804613,1313.617369,2374.89
14/07/2017,140.6454322,1281.695004,2343.74
15/07/2017,138.8691597,1149.325424,2214.83
16/07/2017,136.057647,915.0704771,1989.63
17/07/2017,135.0958948,832.7722509,1910.75
18/07/2017,139.0739969,1148.276355,2215.75
19/07/2017,140.1734543,1239.827194,2303.76
20/07/2017,139.5745276,1191.417382,2257.07
21/07/2017,145.6805739,1791.141396,2823.90
22/07/2017,144.0567217,1623.444644,2666.14
23/07/2017,145.8210123,1796.534251,2829.75
24/07/2017,145.1170362,1714.33646,2753.24
25/07/2017,145.2009041,1715.706815,2755.16
26/07/2017,143.0453445,1508.246772,2558.69
27/07/2017,142.7351408,1468.921306,2522.32
28/07/2017,144.4379438,1618.326162,2665.15
29/07/2017,145.9070864,1753.618547,2793.83
30/07/2017,144.9855774,1660.959787,2706.45
31/07/2017,145.5559602,1705.264742,2749.38
01/08/2017,146.895539,1823.817137,2862.61
02/08/2017,145.3620875,1681.54598,2727.39
03/08/2017,144.9628455,1642.121081,2690.15
04/08/2017,146.1744533,1746.061367,2789.75
05/08/2017,147.0976968,1818.982711,2860.27
06/08/2017,150.9589361,2220.109989,3237.42
07/08/2017,151.0658382,2210.452377,3230.12
08/08/2017,152.6773358,2383.761121,3392.56
09/08/2017,153.0814751,2418.304454,3425.68
10/08/2017,152.475886,2332.802832,3347.22
11/08/2017,153.4080938,2428.197969,3437.03
12/08/2017,155.6680451,2666.186071,3660.52
13/08/2017,157.2710314,2895.87243,3871.08
14/08/2017,158.9238902,3104.16692,4063.80
15/08/2017,160.2699798,3371.898131,4304.60
16/08/2017,159.6162878,3209.553774,4160.03
17/08/2017,160.8128131,3436.54156,4364.68
18/08/2017,160.7928245,3371.047641,4308.52
19/08/2017,159.8365851,3146.991456,4108.51
20/08/2017,160.3173662,3202.628502,4160.33
21/08/2017,160.0901331,3117.807088,4085.81
22/08/2017,159.6671991,3013.185098,3992.63
23/08/2017,160.2853419,3102.350533,4074.33
